source_id,source,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name
25324,Species+,Plantae,,,Orchidales,Orchidaceae,Dracula,xenos
26107,Species+,Plantae,,,Orchidales,Orchidaceae,Disa,nervosa
26663,Species+,Plantae,,,Liliales,Liliaceae,Aloe,distans
27663,Species+,Plantae,,,Cycadales,Cycadaceae,Cycas,beddomei
27813,Species+,Plantae,,,Cyatheales,Cyatheaceae,Alsophila,cicatricosa
15455,Species+,Plantae,,,Orchidales,Orchidaceae,Maxillaria,nagelii
18212,Species+,Plantae,,,Ebenales,Ebenaceae,Diospyros,borbonica
16261,Species+,Plantae,,,Orchidales,Orchidaceae,Coelogyne,chanii
16427,Species+,Plantae,,,Orchidales,Orchidaceae,Masdevallia,cuprea
14353,Species+,Plantae,,,Orchidales,Orchidaceae,Vanda,taiwaniana
16667,Species+,Plantae,,,Cyatheales,Cyatheaceae,Cyathea,yungensis
13796,Species+,Plantae,,,Caryophyllales,Cactaceae,Echinopsis,oxygona
16911,Species+,Plantae,,,Orchidales,Orchidaceae,Calanthe,candida
17893,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,scopa
13797,Species+,Plantae,,,Orchidales,Orchidaceae,Holopogon,smithianus
13766,Species+,Plantae,,,Orchidales,Orchidaceae,Phreatia,hypsorhynchos
13798,Species+,Plantae,,,Liliales,Liliaceae,Aloe,branddraaiensis
13767,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,inornatum
13863,Species+,Plantae,,,Orchidales,Orchidaceae,Angraecum,andasibeense
13931,Species+,Plantae,,,Cyatheales,Cyatheaceae,Cyathea,affinis
13768,Species+,Plantae,,,Orchidales,Orchidaceae,Aerangis,flexuosa
13995,Species+,Plantae,,,Liliales,Agavaceae,Agave,victoriae-reginae
14147,Species+,Plantae,,,Cyatheales,Cyatheaceae,Cyathea,eggersii
14103,Species+,Plantae,,,Orchidales,Orchidaceae,Genoplesium,systenum
14148,Species+,Plantae,,,Caryophyllales,Cactaceae,Parodia,ottonis
14104,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,arianeae
13996,Species+,Plantae,,,Nepenthales,Nepenthaceae,Nepenthes,beccariana
14149,Species+,Plantae,,,Cycadales,Zamiaceae,Zamia,vazquezii
13997,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,phymatum
14311,Species+,Plantae,,,Orchidales,Orchidaceae,Barkeria,obovata
14312,Species+,Plantae,,,Fabales,Leguminosae,Dalbergia,bojeri
13998,Species+,Plantae,,,Ebenales,Ebenaceae,Diospyros,minimifolia
14475,Species+,Plantae,,,Orchidales,Orchidaceae,Goodyera,repens
15207,Species+,Plantae,,,Cyatheales,Cyatheaceae,Alsophila,capensis
15208,Species+,Plantae,,,Cyatheales,Cyatheaceae,Cyathea,subincisa
14522,Species+,Plantae,,,Orchidales,Orchidaceae,Dressleria,dilecta
14061,Species+,Plantae,,,Orchidales,Orchidaceae,Angraecum,nzoanum
14523,Species+,Plantae,,,Orchidales,Orchidaceae,Restrepia,teaguei
14062,Species+,Plantae,,,Orchidales,Orchidaceae,Epidendrum,echinatum
15210,Species+,Plantae,,,Orchidales,Orchidaceae,Habenaria,mairei
14063,Species+,Plantae,,,Caryophyllales,Cactaceae,Opuntia,parishii
14524,Species+,Plantae,,,Cyatheales,Cyatheaceae,Cyathea,trindadensis
14611,Species+,Plantae,,,Liliales,Liliaceae,Aloe,boiteaui
