id,version,class_name,family_name,genus_name,kingdom_name,order_name,phylum_name,scientific_name,source,source_id
32372,0,Sarcopterygii,Latimeriidae,Latimeria,Animalia,Coelacanthiformes,Chordata,menadoensis,Species+,6349
34959,0,Sarcopterygii,Ceratodontidae,Neoceratodus,Animalia,Ceratodontiformes,Chordata,forsteri,Species+,9765
35037,0,Sarcopterygii,Latimeriidae,Latimeria,Animalia,Coelacanthiformes,Chordata,chalumnae,Species+,9862
37835,0,Sarcopterygii,Ceratodontidae,Neoceratodus,Animalia,Ceratodontiformes,Chordata,blanchardi,Species+,32878
29907,0,Reptilia,Boidae,Corallus,Animalia,Serpentes,Chordata,caninus,Species+,6147
29909,0,Reptilia,Boidae,Epicrates,Animalia,Serpentes,Chordata,assisi,Species+,6991
29925,0,Reptilia,Varanidae,Varanus,Animalia,Sauria,Chordata,gilleni,Species+,9059
