id,vernacularName,language,locality
823,limoeira-do-mato,PORTUGUES,MG
837,falsa-murta,PORTUGUES,Sudeste e Sul
847,arapoca,PORTUGUES,vários estados; muitas exsicatas e em Pio Correa 1926
847,arapoca branca,PORTUGUES,vários estados; muitas exsicatas e em Pio Correa 1926
847,arapoca verdadeira,PORTUGUES,vários estados; muitas exsicatas e em Pio Correa 1926
847,banha-de-galinha,PORTUGUES,Bahia
847,mucanga,PORTUGUES,Bahia e Minas Gerais
847,sucanga,PORTUGUES,Bahia e Minas Gerais
849,amarelinho,PORTUGUES,Sudeste e Nordeste
849,arapoca-amarela,PORTUGUES,Sudeste e Bahia
849,cocão,PORTUGUES,Ceará
849,gema-de-ovo,PORTUGUES,Sudeste
849,guataiapoca,PORTUGUES,Sudeste
849,gurataiapoca,PORTUGUES,Sudeste
849,pau-amarelo,PORTUGUES,Sudeste
850,capança,PORTUGUES,Pará
850,caporé,PORTUGUES,Pará
850,pirarara,PORTUGUES,Acre
869,batiputazinho,PORTUGUES,Pará
876,jaborandi,PORTUGUES,Nordeste
882,arruda,PORTUGUES,Maranhão
882,arruda-brava,PORTUGUES,Maranhão
882,jaborandi,PORTUGUES,Pará; Maranhão e Piauí
887,pitaguará do branco,PORTUGUES,Santa Catarina
888,crista-de-peru,PORTUGUES,São Paulo
888,cutia,PORTUGUES,Paraná; Rio Grande do Sul
888,cutia-branca,PORTUGUES,Santa Catarina
888,guatambu,PORTUGUES,Paraná
888,guaximbiriçu,PORTUGUES,Paraná
888,jaborandi,PORTUGUES,Paraná; Rio Grande do Sul
888,pau-de-cutia,PORTUGUES,Paraná; Rio Grande do Sul
893,humaitá,PORTUGUES,Acre
893,jambú-açu,PORTUGUES,Acre
898,arengueiro,PORTUGUES,Bahia
898,catinga-de-porco,PORTUGUES,Bahia
898,jaborandi-da-restinga,PORTUGUES,Rio de Janeiro
898,jaburandi,PORTUGUES,Ceará
898,pimentinha,PORTUGUES,Ceará
900,jaborandi-da-restinga,PORTUGUES,Rio de Janeiro
901,catinga-de-porco,PORTUGUES,Nordeste
903,arengueiro; catinga-de-porco,PORTUGUES,Bahia
903,jaborandi; jaburandi,PORTUGUES,Sudeste
907,jaborandi,PORTUGUES,Bahia
907,vidro,PORTUGUES,Bahia
908,catiguá,PORTUGUES,Minas Gerais
908,jaborandi,PORTUGUES,Piauí
