id,locality,countryCode,establishmentMeans,occurrenceRemarks
5019,Rio de Janeiro,BR,NATIVA,
118443,São Paulo;Goiás,BR,NATIVA,
111323,Amazonas;Roraima,BR,NATIVA,
126173,São Paulo,BR,NATIVA,
81369,Amazonas,BR,NATIVA,
34368,Amazonas,BR,NATIVA,
98230,Paraná;São Paulo,BR,NATIVA,
137450,Pernambuco,BR,,
34369,Amazonas,BR,NATIVA,
108034,Rio Grande do Sul;São Paulo;Rio de Janeiro,BR,NATIVA,
39822,Bahia;São Paulo;Rio de Janeiro;Sergipe,BR,NATIVA,
103051,Amazonas,BR,NATIVA,
126190,São Paulo,BR,NATIVA,
105508,Mato Grosso do Sul,BR,NATURALIZADA,
83416,Bahia;Maranhão;Pernambuco;Minas Gerais,BR,NATIVA,
127887,São Paulo;Espírito Santo;Bahia;Santa Catarina;Paraíba;Goiás;Mato Grosso;Rio Grande do Sul,BR,NATIVA,
108033,Paraná;Rio de Janeiro;Rio Grande do Sul;Amazonas,BR,NATIVA,
124593,São Paulo,BR,NATIVA,
126158,Mato Grosso do Sul;São Paulo;Goiás;Pernambuco;Rio Grande do Sul,BR,NATIVA,
15636,Pará;Bahia;Roraima;Amazonas,BR,NATIVA,
84593,Amazonas,BR,NATIVA,
127931,Rio Grande do Sul;Santa Catarina;Paraná,BR,NATIVA,
32321,Distrito Federal;Goiás;Mato Grosso do Sul;Mato Grosso,BR,NATIVA,
122828,Rio Grande do Sul;São Paulo;Rio de Janeiro;Espírito Santo,BR,NATIVA,
116727,Rio Grande do Sul;São Paulo,BR,NATIVA,
122817,Goiás;São Paulo;Rio de Janeiro;Minas Gerais;Rio Grande do Sul,BR,NATIVA,
122821,Goiás;São Paulo,BR,NATIVA,
116618,São Paulo,BR,NATIVA,
125717,Rio de Janeiro;São Paulo,BR,NATIVA,
108047,São Paulo;Goiás;Paraíba;Pernambuco;Amazonas;Rio Grande do Sul;Rio de Janeiro,BR,NATIVA,
29448,Mato Grosso do Sul,BR,NATIVA,
119822,São Paulo;Maranhão,BR,NATIVA,
26032,Mato Grosso do Sul;Minas Gerais;Santa Catarina;Paraná;Pará;Rondônia;Bahia;São Paulo;Maranhão;Pernambuco;Rio Grande do Norte;Distrito Federal,BR,NATURALIZADA,
97941,Paraná;Mato Grosso do Sul;Mato Grosso;Acre;Amazonas;Espírito Santo;Pará;São Paulo;Pernambuco;Rio Grande do Sul,BR,NATIVA,
122826,Amazonas;Pará;Rio de Janeiro;São Paulo,BR,NATIVA,
107906,Rio de Janeiro,BR,NATIVA,
107909,São Paulo;Rio de Janeiro,BR,NATIVA,
117483,Amazonas,BR,NATIVA,
124218,São Paulo,BR,NATIVA,
108064,Rio de Janeiro;Rio Grande do Sul;São Paulo;Mato Grosso do Sul;Mato Grosso;Pará;Amazonas;Goiás,BR,NATIVA,
98236,Paraná;Rio Grande do Sul;São Paulo,BR,NATIVA,
126160,Goiás,BR,NATIVA,
33349,Mato Grosso;Pará,BR,NATIVA,
121016,São Paulo,BR,NATIVA,
121781,São Paulo;Bahia,BR,NATIVA,
117417,São Paulo,BR,NATIVA,
117418,São Paulo,BR,NATIVA,
108035,Amazonas;Pará;Distrito Federal;Rio Grande do Sul;Paraná;Rio de Janeiro;Minas Gerais;São Paulo,BR,NATIVA,
117419,São Paulo,BR,NATIVA,
103340,Minas Gerais,BR,NATIVA,
116626,São Paulo,BR,NATIVA,
120978,São Paulo,BR,NATIVA,
121659,Bahia;São Paulo,BR,NATIVA,
116622,Goiás;Amazonas;Pará;Rio Grande do Sul;São Paulo;Distrito Federal,BR,NATIVA,
121017,São Paulo,BR,NATIVA,
83317,Amapá;Amazonas;Piauí;Maranhão;Pará,BR,NATIVA,
126191,São Paulo,BR,NATIVA,
108156,Pará;Distrito Federal;Goiás;Rio Grande do Sul;São Paulo;Rio de Janeiro;Paraná;Mato Grosso do Sul,BR,NATIVA,
121254,Rio de Janeiro;São Paulo,BR,NATIVA,
22096,Acre;Amazonas,BR,NATIVA,
120487,Rio de Janeiro;São Paulo,BR,NATIVA,
93997,São Paulo;Mato Grosso;Minas Gerais,BR,,
105487,Rio Grande do Norte;Pernambuco,BR,NATURALIZADA,
