id,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,name_status,cites_listing,cites_listing_original
3091,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Sternoclyta,cyanopectus,A,II,II
3092,Animalia,Cnidaria,Hydrozoa,Stylasterina,Stylasteridae,Lepidotheca,horrida,A,II,II
3093,Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Trochopsammia,togata,A,II,II
3094,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Thalamophyllia,gasti,A,II,II
3095,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Deltocyathus,varians,A,II,II
3096,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,kathiah,A,III,III
3097,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Goethalsia,bella,A,II,II
3098,Animalia,Chordata,Aves,Galliformes,Phasianidae,Melanoperdix,niger,A,NC,NC
3099,Animalia,Cnidaria,Anthozoa,Scleractinia,Rhizangiidae,Culicia,quinaria,A,II,II
3100,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,latirostris,A,II,II
3101,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,gaimardi,A,II,II
3102,Animalia,Cnidaria,Anthozoa,Antipatharia,Aphanipathidae,Tetrapathes,alata,A,II,II
3106,Animalia,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Leptoseris,amitoriensis,A,II,II
3108,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Homopus,signatus,A,II,II
3109,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,gentilis,A,II,II
3110,Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Leptopsammia,poculum,A,II,II
3111,Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,guatemalae,A,II,II
3112,Animalia,Chordata,Reptilia,Sauria,Gekkonidae,Uroplatus,ebenaui,A,II,II
3113,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,rufus,A,II,II
3114,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Hippotragus,equinus,A,NC,NC
3116,Animalia,Cnidaria,Hydrozoa,Stylasterina,Stylasteridae,Lepidopora,acrolophos,A,II,II
3118,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,palmata,A,II,II
3121,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Dendrolagus,ursinus,A,II,II
3122,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Dactylotrochus,cervicornis,A,II,II
3123,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Caryophyllia,paucipalata,A,II,II
3124,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Butastur,indicus,A,II,II
3125,Animalia,Cnidaria,Anthozoa,Scleractinia,Fungiacyathidae,Fungiacyathus,fissidiscus,A,II,II
3126,Animalia,Cnidaria,Anthozoa,Scleractinia,Mussidae,Symphyllia,erythraea,A,II,II
3130,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Graphium,stresemanni,A,NC,NC
3131,Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Eguchipsammia,serpentina,A,II,II
3133,Animalia,Chordata,Reptilia,Rhynchocephalia,Sphenodontidae,Sphenodon,guntheri,A,I,I
3134,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Phaethornis,guy,A,II,II
3135,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Budorcas,taxicolor,A,II,II
3137,Animalia,Chordata,Reptilia,Sauria,Cordylidae,Cordylus,niger,A,II,II
3138,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Haliaeetus,leucogaster,A,II,II
3139,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Pithecia,aequatorialis,A,II,II
3140,Animalia,Cnidaria,Anthozoa,Helioporacea,Helioporidae,Heliopora,coerulea,A,II,II
